Company,Gründer,Link
ENEKA Energiekartografie,Tobias Lerche,https://www.linkedin.com/in/tobias-lerche-12593113/
Enginsight GmbH,,https://www.linkedin.com/company/enginsight/
Enginsight GmbH,Mario Jandeck,https://www.linkedin.com/in/mario-jandeck/
Enginsight GmbH,Eric Range,https://www.linkedin.com/in/eric-range-bb118751/
erledigungen.de,,https://www.linkedin.com/company/erledigungen-de/about/
erledigungen.de,Sebastian Simon,https://www.linkedin.com/in/sebastian-simon-22b94a103/
ETA+/ETA PLUS GmbH,,https://www.linkedin.com/company/etaplus/
ETA+/ETA PLUS GmbH,Dirk Wittler,https://www.linkedin.com/in/dirkwittler/
Evermood,,https://www.linkedin.com/company/evermood/
Evermood,Marvin Homburg,https://www.linkedin.com/in/marvinhomburg/
Evermood,Lara Frederike von Petersdorff-Campen,https://www.linkedin.com/in/lara-von-petersdorff-campen/
Evy Solutions GmbH,,https://www.linkedin.com/company/evy-solutions-gmbh/
Evy Solutions GmbH,Michael Vogel,https://www.linkedin.com/in/michael-vogel-evy-solutions-gmbh/
Evy Solutions GmbH,Arian Storch,https://www.linkedin.com/in/arian-storch-841480158/
Fairlanguage (GFGK Gesellschaft für gerechte Kommunikation mbH),,https://www.linkedin.com/company/fairlanguage/
Fairlanguage (GFGK Gesellschaft für gerechte Kommunikation mbH),Georg Michael Martens,https://www.linkedin.com/in/michaelmartensconsultant/
FixMyCity GmbH,,https://www.linkedin.com/company/fixmycity/
FixMyCity GmbH,Boris Alexander Hekele,https://www.linkedin.com/in/boris-hekele/
FixMyCity GmbH,Heiko Rintelen,https://www.linkedin.com/in/heiko-rintelen/
FlexHero,,https://www.linkedin.com/company/flexhero-gmbh/
FlexHero,Frank Blasius,https://www.linkedin.com/in/frank-blasius-15668b91/
FlexHero,Damian Emanuel Belter,
FlexHero,Philipp Klönhammer,https://www.linkedin.com/in/philipp-kl%C3%B6nhammer-166513189/
Flexopus - Die Desk-Sharing-App,,https://www.linkedin.com/company/flexopus/
